Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,0.999763,1.000586,0.999728,1.000120,1.000120,4666608001
2021-06-30,0.999952,1.000546,0.999570,0.999985,0.999985,4238286929
2021-07-01,0.999965,1.000620,0.999775,1.000151,1.000151,4023897602
2021-07-02,1.000037,1.000827,0.999802,1.000083,1.000083,3352002469
2021-07-03,1.000039,1.000596,0.999746,0.999800,0.999800,2775787401
2021-07-04,0.999750,1.000188,0.998806,0.999373,0.999373,3065474877
2021-07-05,0.999463,1.000853,0.999301,1.000414,1.000414,3562047992
2021-07-06,1.000294,1.000660,0.999535,1.000021,1.000021,4212462179
2021-07-07,1.000064,1.000614,0.999509,1.000484,1.000484,3871075106
2021-07-08,1.000619,1.001086,0.999600,0.999917,0.999917,4038666375
2021-07-09,0.999823,1.000162,0.999502,0.999840,0.999840,3385084749
2021-07-10,0.999688,1.000662,0.999485,1.000084,1.000084,2829323388
2021-07-11,1.000000,1.001183,0.999930,1.000263,1.000263,2436384434
2021-07-12,1.000207,1.000919,0.999872,1.000376,1.000376,3065907077
2021-07-13,1.000246,1.000913,0.999859,1.000058,1.000058,3300679362
2021-07-14,0.999908,1.000684,0.999868,1.000052,1.000052,3436095101
2021-07-15,1.000027,1.000517,0.999775,1.000033,1.000033,3877831361
2021-07-16,1.000136,1.000519,0.999916,1.000295,1.000295,3330357077
2021-07-17,1.000255,1.000891,0.999934,1.000417,1.000417,2574863759
2021-07-18,1.000421,1.000695,0.999391,1.000489,1.000489,2462122283
2021-07-19,1.000453,1.000755,1.000017,1.000117,1.000117,3168386937
2021-07-20,1.000147,1.000622,0.999944,1.000189,1.000189,3419283044
2021-07-21,1.000193,1.000480,0.999829,1.000243,1.000243,4743295748
2021-07-22,1.000318,1.000660,0.999630,1.000287,1.000287,3897985070
2021-07-23,1.000215,1.000662,0.999768,1.000135,1.000135,4207242349
2021-07-24,1.000159,1.000754,0.999795,1.000216,1.000216,4748553795
2021-07-25,1.000219,1.000329,0.998736,0.999613,0.999613,3993626075
2021-07-26,0.999609,1.000491,0.999467,0.999866,0.999866,8164460491
2021-07-27,1.000046,1.000572,0.999668,0.999865,0.999865,5967960628
2021-07-28,0.999941,1.000373,0.999520,0.999969,0.999969,5427452146
2021-07-29,0.999983,1.000703,0.999636,1.000040,1.000040,3962894769
2021-07-30,1.000078,1.000821,0.999422,0.999913,0.999913,4701631435
2021-07-31,0.999722,1.000360,0.999491,0.999785,0.999785,3944912743
2021-08-01,0.999600,1.000412,0.999222,1.000123,1.000123,4411057513
2021-08-02,1.000066,1.000616,0.999669,1.000372,1.000372,4072479956
2021-08-03,1.000260,1.000689,0.999876,1.000361,1.000361,3851216798
2021-08-04,1.000376,1.000607,0.999794,1.000182,1.000182,3947903950
2021-08-05,1.000123,1.000458,0.999550,0.999754,0.999754,5853112561
2021-08-06,0.999775,1.000251,0.999485,0.999866,0.999866,5578113135
2021-08-07,0.999902,1.000194,0.999457,0.999786,0.999786,6108234130
2021-08-08,0.999591,0.999951,0.999021,0.999467,0.999467,5103610384
2021-08-09,0.999637,1.000075,0.999376,0.999941,0.999941,5302160574
2021-08-10,0.999881,1.000508,0.999360,0.999937,0.999937,5082250256
2021-08-11,1.000013,1.000645,0.999415,1.000022,1.000022,6332095711
2021-08-12,1.000044,1.000757,0.999533,1.000218,1.000218,5716848765
2021-08-13,1.000194,1.000721,0.999407,0.999693,0.999693,4621529216
2021-08-14,0.999772,1.000272,0.999375,0.999949,0.999949,4947235993
2021-08-15,0.999809,1.000828,0.999355,0.999844,0.999844,4812455085
2021-08-16,0.999947,1.000530,0.999155,1.000071,1.000071,5888144038
2021-08-17,1.000103,1.000422,0.999798,1.000233,1.000233,6316304773
2021-08-18,1.000303,1.000509,0.999926,1.000211,1.000211,5880049057
2021-08-19,1.000292,1.000664,0.999371,0.999780,0.999780,6394280972
2021-08-20,0.999679,1.000497,0.999512,1.000245,1.000245,5974506316
2021-08-21,1.000373,1.000612,0.999350,1.000006,1.000006,5179448244
2021-08-22,1.000003,1.001268,0.999107,1.000184,1.000184,4460714368
2021-08-23,1.000195,1.000582,0.999411,1.000569,1.000569,6094083407
2021-08-24,1.000599,1.000675,0.999826,1.000175,1.000175,6262741423
2021-08-25,0.999975,1.000449,0.999862,1.000081,1.000081,6540774338
2021-08-26,1.000159,1.000677,0.999884,1.000083,1.000083,6069686586
2021-08-27,1.000076,1.000818,0.999834,1.000032,1.000032,5702328821
2021-08-28,0.999964,1.000868,0.999355,0.999954,0.999954,4211028843
2021-08-29,1.000016,1.001012,0.999360,1.000441,1.000441,4709122581
2021-08-30,1.000362,1.000757,0.999704,1.000273,1.000273,5744607090
2021-08-31,1.000308,1.000661,0.999774,1.000159,1.000159,6288421646
2021-09-01,1.000377,1.000721,0.999610,0.999953,0.999953,5912049457
2021-09-02,0.999972,1.000255,0.999360,0.999984,0.999984,6224459063
2021-09-03,0.999866,1.000229,0.999599,0.999928,0.999928,7282244764
2021-09-04,0.999835,1.000335,0.999726,1.000063,1.000063,5267509826
2021-09-05,0.999908,1.000180,0.999467,0.999791,0.999791,5379863766
2021-09-06,0.999755,1.000449,0.999240,0.999420,0.999420,7639143924
2021-09-07,0.999362,1.000690,0.999249,1.000372,1.000372,14590983686
2021-09-08,1.000111,1.000536,0.999899,1.000235,1.000235,11418064658
2021-09-09,1.000329,1.000553,0.999848,1.000137,1.000137,8534711180
2021-09-10,1.000139,1.000657,0.999798,1.000170,1.000170,7470738557
2021-09-11,1.000234,1.001127,0.999620,1.000990,1.000990,6036529777
2021-09-12,1.000914,1.001094,0.999031,0.999556,0.999556,5308860794
2021-09-13,0.999612,1.000669,0.999353,1.000030,1.000030,7157002682
2021-09-14,0.999921,1.001015,0.999823,1.000382,1.000382,5622207620
2021-09-15,1.000302,1.000612,0.999582,0.999940,0.999940,5274671680
2021-09-16,1.000124,1.000436,0.999927,1.000146,1.000146,6655708970
2021-09-17,1.000329,1.001056,0.999444,0.999595,0.999595,5594804606
2021-09-18,0.999625,1.000874,0.998896,0.999279,0.999279,5075515725
2021-09-19,0.999245,1.001804,0.998043,1.000132,1.000132,3921488905
2021-09-20,1.000237,1.000513,0.999974,1.000345,1.000345,7648161515
2021-09-21,1.000152,1.000666,0.999971,1.000107,1.000107,7280724301
2021-09-22,1.000201,1.000706,0.999591,0.999626,0.999626,6246945586
2021-09-23,0.999610,1.000950,0.999312,1.000122,1.000122,5422103397
2021-09-24,1.000001,1.000890,0.999436,1.000242,1.000242,7162518077
2021-09-25,1.000134,1.001227,0.999656,1.000469,1.000469,4451501483
2021-09-26,1.000554,1.001036,0.999929,1.000358,1.000358,6251602789
2021-09-27,1.000318,1.001051,0.999473,1.000125,1.000125,5026810819
2021-09-28,1.000210,1.000791,0.999961,1.000378,1.000378,4483634091
2021-09-29,1.000232,1.000754,0.999730,1.000507,1.000507,4305565875
2021-09-30,1.000307,1.000539,0.999401,1.000090,1.000090,4690755615
2021-10-01,1.000142,1.000336,0.999477,0.999596,0.999596,6536445527
2021-10-02,0.999663,1.000134,0.999461,0.999956,0.999956,4601634662
2021-10-03,0.999781,1.000234,0.999167,0.999696,0.999696,4373199103
2021-10-04,0.999560,1.000192,0.999075,0.999570,0.999570,6225554779
2021-10-05,0.999534,1.000678,0.999173,0.999986,0.999986,6030695328
2021-10-06,0.999956,1.000888,0.999037,1.000102,1.000102,7877494103
2021-10-07,0.999915,1.000868,0.999249,1.000135,1.000135,7849175917
2021-10-08,1.000069,1.000353,0.999499,0.999852,0.999852,7070649400
2021-10-09,0.999999,1.000286,0.999712,0.999935,0.999935,4820108532
2021-10-10,0.999833,1.000877,0.999025,1.000718,1.000718,4887973647
2021-10-11,1.000814,1.000908,0.999500,1.000387,1.000387,5506111288
2021-10-12,1.000536,1.000889,0.999851,0.999974,0.999974,6220506714
2021-10-13,1.000163,1.000767,0.999431,1.000053,1.000053,6844663261
