"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2020-02-25","1582588800","383983"
"2020-02-26","1582675200","430310"
"2020-02-27","1582761600","412349"
"2020-02-28","1582848000","407826"
"2020-02-29","1582934400","377592"
"2020-03-01","1583020800","370776"
"2020-03-02","1583107200","403973"
"2020-03-03","1583193600","382499"
"2020-03-04","1583280000","394981"
"2020-03-05","1583366400","463419"
"2020-03-06","1583452800","400702"
"2020-03-07","1583539200","376415"
"2020-03-08","1583625600","393864"
"2020-03-09","1583712000","464016"
"2020-03-10","1583798400","488703"
"2020-03-11","1583884800","457920"
"2020-03-12","1583971200","450402"
"2020-03-13","1584057600","488233"
"2020-03-14","1584144000","452146"
"2020-03-15","1584230400","407092"
"2020-03-16","1584316800","469337"
"2020-03-17","1584403200","479446"
"2020-03-18","1584489600","501256"
"2020-03-19","1584576000","595629"
"2020-03-20","1584662400","539822"
"2020-03-21","1584748800","580358"
"2020-03-22","1584835200","515565"
"2020-03-23","1584921600","528831"
"2020-03-24","1585008000","554943"
"2020-03-25","1585094400","500271"
"2020-03-26","1585180800","486846"
"2020-03-27","1585267200","459891"
"2020-03-28","1585353600","407411"
"2020-03-29","1585440000","371600"
"2020-03-30","1585526400","441385"
"2020-03-31","1585612800","463038"
"2020-04-01","1585699200","482502"
"2020-04-02","1585785600","453414"
"2020-04-03","1585872000","433983"
"2020-04-04","1585958400","375490"
"2020-04-05","1586044800","375144"
"2020-04-06","1586131200","448475"
"2020-04-07","1586217600","455244"
"2020-04-08","1586304000","457764"
"2020-04-09","1586390400","455486"
"2020-04-10","1586476800","516158"
"2020-04-11","1586563200","782245"
"2020-04-12","1586649600","729741"
"2020-04-13","1586736000","570940"
"2020-04-14","1586822400","577885"
"2020-04-15","1586908800","626190"
"2020-04-16","1586995200","605467"
"2020-04-17","1587081600","610638"
"2020-04-18","1587168000","427441"
"2020-04-19","1587254400","452254"
"2020-04-20","1587340800","533299"
"2020-04-21","1587427200","491969"
"2020-04-22","1587513600","501133"
"2020-04-23","1587600000","466434"
"2020-04-24","1587686400","492031"
"2020-04-25","1587772800","452612"
"2020-04-26","1587859200","435910"
"2020-04-27","1587945600","474806"
"2020-04-28","1588032000","498742"
"2020-04-29","1588118400","487504"
"2020-04-30","1588204800","456446"
"2020-05-01","1588291200","429486"
"2020-05-02","1588377600","436420"
"2020-05-03","1588464000","406693"
"2020-05-04","1588550400","665359"
"2020-05-05","1588636800","476837"
"2020-05-06","1588723200","853413"
"2020-05-07","1588809600","1370266"
"2020-05-08","1588896000","489429"
