"DateTime","Number of Transactions","Price"
"2022-12-19 00:00:00",941853.57,1205.97
"2022-12-26 00:00:00",891006.57,1203.13
"2023-01-02 00:00:00",997008.71,1243.84
"2023-01-09 00:00:00",1038534.43,1414.99
"2023-01-16 00:00:00",986847.14,1588.18
"2023-01-23 00:00:00",984884.29,1596.64
"2023-01-30 00:00:00",1046927.29,1630.77
"2023-02-06 00:00:00",1026904.57,1586.68
"2023-02-13 00:00:00",1045332.14,1627.74
"2023-02-20 00:00:00",1028910.14,1639.1
"2023-02-27 00:00:00",1006978.86,1610.83
"2023-03-06 00:00:00",995523,1506.87
"2023-03-13 00:00:00",1040396,1718.79
"2023-03-20 00:00:00",1046650.86,1771.64
"2023-03-27 00:00:00",1077178.86,1788.71
"2023-04-03 00:00:00",1002220.71,1858.78
"2023-04-10 00:00:00",1050526.4,1944.17
